title,category,old_filename,old_slug,new_slug,is_bad_old,published
देशभक्तिमा निबन्ध नेपालीमा Essay on Patriotism in Nepali,Nepali Essay/Nibandha,/2019/05/essay-on-patriotism-in-nepali.html,essay-on-patriotism-in-nepali,deshabhaktima-nibandha-nepalima-essay-on-patriotism-in,False,2019-05-23
बिद्यार्थी कविता नेपालीमा,Nepali Story/Katha,/2018/06/blog-post_9.html,blog-post_9,bidyarthi-kavita-nepalima,True,2018-06-09
SEE Model questions 2077 issued by CDC SEE Practice Questions,Class 10,/2019/03/see-model-questions-2075-issued-by-cdc.html,see-model-questions-2075-issued-by-cdc,see-model-questions-2077-issued-by-cdc-see-practice,False,2019-03-17
Essay on Dashain in Nepali Language दशैंको बारेमा निबन्ध,Nepali Poems/Kabita,/2021/03/essay-on-dashain-in-nepali.html,essay-on-dashain-in-nepali,essay-on-dashain-in-nepali-language-dashaimko-barema,False,2021-03-23
वातावरण निबन्ध - वातावरण प्रदुषण Environment essay In Nepali,Nepali Essay/Nibandha,/2018/05/environment-essay-in-nepali.html,environment-essay-in-nepali,vatavarana-nibandha-vatavarana-pradushana-environment-essay,False,2018-05-09
Essay on Social Services in Nepali ( SamajSewi Ma Nibandh),Nepali Essay/Nibandha,/2019/06/essay-on-social-services-in-nepali.html,essay-on-social-services-in-nepali,essay-on-social-services-in-nepali-samajsewi-ma-nibandh,False,2019-06-05
वेभसाइट कसरी बनाउने र पैसा कमाउने,Nepali Blog,/2018/12/blog-post_31.html,blog-post_31,vebhasaita-kasari-banaune-ra-paisa-kamaune,True,2018-12-31
अनुशासनको महत्त्व निबन्ध नेपालीमा,Nepali Essay/Nibandha,/2019/01/blog-post_5.html,blog-post_5,anushasanako-mahattva-nibandha-nepalima,True,2019-01-05
देश विकासमा विद्यार्थीको भूमिका निबन्ध,Nepali Essay/Nibandha,/2018/12/blog-post.html,blog-pos,desha-vikasama-vidyarthiko-bhumika-nibandha,True,2018-12-07
SEE/Class 10 Science Practice Questions 2077/2078,BLE PRACTICE 2076,/2020/12/SEE-Science-Practice-Question.html,SEE-Science-Practice-Question,see-class-10-science-practice-questions-2077-2078,False,2020-12-24
